postcode;nis;regio
4632;62099;Wallonie
1341;25121;Wallonie
6971;83049;Wallonie
6921;84075;Wallonie
6742;85009;Wallonie
7903;57094;Wallonie
6000;52011;Wallonie
4654;63035;Wallonie
6824;85011;Wallonie
6200;52012;Wallonie
4050;62022;Wallonie
4032;62063;Wallonie
6673;82037;Wallonie
4602;62108;Wallonie
7521;57081;Wallonie
7024;53053;Wallonie
5022;92094;Wallonie
4170;62026;Wallonie
6838;84010;Wallonie
6010;52011;Wallonie
6180;52015;Wallonie
5336;92006;Wallonie
1490;25023;Wallonie
4218;61028;Wallonie
4784;63067;Wallonie
5332;92006;Wallonie
7033;53053;Wallonie
5562;91072;Wallonie
6020;52011;Wallonie
4253;64029;Wallonie
8660;38008;Flandre
8540;34009;Flandre
9470;41011;Flandre
2480;13006;Flandre
8792;34040;Flandre
9831;44064;Flandre
2100;11002;Flandre
7864;55023;Wallonie
1831;23047;Flandre
3590;71011;Flandre
4820;63020;Wallonie
6836;84010;Wallonie
7711;54007;Wallonie
8951;33039;Flandre
1620;23098;Flandre
9031;44021;Flandre
2570;12009;Flandre
1653;23003;Flandre
7191;55050;Wallonie
2650;11013;Flandre
9900;43005;Flandre
2180;11002;Flandre
3941;72038;Flandre
1671;23064;Flandre
4750;63013;Wallonie
8906;33011;Flandre
4053;62022;Wallonie
5363;91059;Wallonie
5644;92087;Wallonie
6972;83049;Wallonie
6441;56029;Wallonie
3071;24055;Flandre
7502;57081;Wallonie
2910;11016;Flandre
1040;21005;Bruxelles
4700;63023;Wallonie
4631;62099;Wallonie
1140;21006;Bruxelles
4731;63061;Wallonie
5522;91103;Wallonie
6856;84050;Wallonie
4458;62060;Wallonie
4181;61024;Wallonie
6686;82005;Wallonie
4620;62038;Wallonie
5334;92006;Wallonie
5572;91013;Wallonie
6140;52022;Wallonie
7643;57003;Wallonie
6141;52022;Wallonie
5504;91034;Wallonie
6853;84050;Wallonie
5576;91013;Wallonie
7504;57081;Wallonie
7503;57081;Wallonie
5500;91034;Wallonie
5641;92087;Wallonie
7943;51012;Wallonie
7906;57094;Wallonie
1083;21008;Bruxelles
7530;57081;Wallonie
2440;13008;Flandre
3200;24001;Flandre
1470;25031;Wallonie
3600;71016;Flandre
9000;44021;Flandre
1332;25091;Wallonie
5524;91103;Wallonie
2590;12002;Flandre
7011;53053;Wallonie
7863;55023;Wallonie
7823;51004;Wallonie
6060;52011;Wallonie
1473;25031;Wallonie
3380;24137;Flandre
4834;63046;Wallonie
5353;92097;Wallonie
6041;52011;Wallonie
6181;52015;Wallonie
6534;56078;Wallonie
6698;82032;Wallonie
5031;92142;Wallonie
3450;24028;Flandre
1850;23025;Flandre
2280;13010;Flandre
1702;23016;Flandre
6952;83040;Wallonie
3723;73040;Flandre
6704;81001;Wallonie
3053;24086;Flandre
6723;85046;Wallonie
6782;81015;Wallonie
4684;62079;Wallonie
6720;85046;Wallonie
5351;92097;Wallonie
1500;23027;Flandre
6986;83031;Wallonie
6922;84075;Wallonie
4180;61024;Wallonie
3930;72037;Flandre
7321;51009;Wallonie
8530;34013;Flandre
1130;21004;Bruxelles
5541;91142;Wallonie
1461;25044;Wallonie
7041;53084;Wallonie
7531;57081;Wallonie
7021;53053;Wallonie
3940;72038;Flandre
5543;91142;Wallonie
8551;34042;Flandre
2801;12025;Flandre
2220;12014;Flandre
9450;41024;Flandre
9571;45063;Flandre
2620;11018;Flandre
4841;63084;Wallonie
3971;71034;Flandre
4771;63001;Wallonie
2270;13012;Flandre
4728;63040;Wallonie
7742;57062;Wallonie
4681;62079;Wallonie
4480;61080;Wallonie
1540;23032;Flandre
7712;54007;Wallonie
4040;62051;Wallonie
3717;73028;Flandre
3831;73098;Flandre
8501;34022;Flandre
9070;44013;Flandre
4802;63079;Wallonie
3191;24014;Flandre
3001;24062;Flandre
6984;83031;Wallonie
2660;11002;Flandre
4351;64063;Wallonie
4162;61079;Wallonie
1560;23033;Flandre
3746;73006;Flandre
3471;24054;Flandre
1981;23096;Flandre
9308;41002;Flandre
4342;62006;Wallonie
4852;63088;Wallonie
8830;36006;Flandre
2320;13014;Flandre
7301;53014;Wallonie
5563;91072;Wallonie
1476;25031;Wallonie
4682;62079;Wallonie
3530;72039;Flandre
7781;54010;Wallonie
2540;11021;Flandre
7624;57093;Wallonie
1654;23003;Flandre
8531;34013;Flandre
1851;23025;Flandre
8480;35006;Flandre
9472;41011;Flandre
8770;36007;Flandre
1041;21004;Bruxelles
1041;21004;Bruxelles
7801;51004;Wallonie
1701;23016;Flandre
1050;21009;Bruxelles
1051;21004;Bruxelles
1051;21004;Bruxelles
5354;92097;Wallonie
6810;85007;Wallonie
7012;53053;Wallonie
4101;62096;Wallonie
1090;21010;Bruxelles
4650;63035;Wallonie
6040;52011;Wallonie
6642;82036;Wallonie
8870;36008;Flandre
3293;24020;Flandre
2920;11022;Flandre
2950;11023;Flandre
3381;24137;Flandre
9970;43007;Flandre
8572;34002;Flandre
3140;24048;Flandre
8956;33039;Flandre
9451;41024;Flandre
3472;24054;Flandre
3010;24062;Flandre
4701;63023;Wallonie
1081;21011;Bruxelles
3582;71004;Flandre
7780;54010;Wallonie
8000;31005;Flandre
8851;37020;Flandre
3060;24009;Flandre
3070;24055;Flandre
3720;73040;Flandre
8500;34022;Flandre
1950;23099;Flandre
9770;45017;Flandre
8520;34023;Flandre
4720;63040;Wallonie
7611;57072;Wallonie
1310;25050;Wallonie
6980;83031;Wallonie
9270;42010;Flandre
6821;85011;Wallonie
1020;21004;Bruxelles
6111;52048;Wallonie
3201;24001;Flandre
7800;51004;Wallonie
7622;57093;Wallonie
4261;64015;Wallonie
6761;85045;Wallonie
6681;82038;Wallonie
9050;44021;Flandre
3061;24009;Flandre
6142;52022;Wallonie
2811;12025;Flandre
8432;35011;Flandre
1502;23027;Flandre
9971;43007;Flandre
8860;34025;Flandre
4250;64029;Wallonie
3970;71034;Flandre
6811;85007;Wallonie
7621;57093;Wallonie
7860;55023;Wallonie
9521;41063;Flandre
3000;24062;Flandre
7900;57094;Wallonie
8810;36011;Flandre
1770;23044;Flandre
4030;62063;Wallonie
2500;12021;Flandre
4990;63045;Wallonie
4042;62051;Wallonie
4254;64029;Wallonie
1428;25014;Wallonie
4830;63046;Wallonie
1342;25121;Wallonie
6670;82037;Wallonie
4357;64023;Wallonie
1630;23100;Flandre
2547;11025;Flandre
5501;91034;Wallonie
6042;52011;Wallonie
8958;33039;Flandre
9160;46014;Flandre
3920;72020;Flandre
4783;63067;Wallonie
6463;56016;Wallonie
6924;84075;Wallonie
4431;62003;Wallonie
6688;82005;Wallonie
1325;25018;Wallonie
4710;63048;Wallonie
1651;23003;Flandre
1471;25031;Wallonie
1348;25121;Wallonie
4141;62100;Wallonie
9920;44036;Flandre
5101;92094;Wallonie
3210;24066;Flandre
6238;52055;Wallonie
9680;45064;Flandre
6663;82014;Wallonie
1830;23047;Flandre
6591;56051;Wallonie
6593;56051;Wallonie
5374;91064;Wallonie
7810;51004;Wallonie
4623;62038;Wallonie
9990;43010;Flandre
4960;63049;Wallonie
7170;52043;Wallonie
4760;63012;Wallonie
5024;92094;Wallonie
7190;55050;Wallonie
6030;52011;Wallonie
6001;52011;Wallonie
6990;83028;Wallonie
9030;44021;Flandre
7522;57081;Wallonie
6630;81013;Wallonie
3742;73006;Flandre
5573;91013;Wallonie
6953;83040;Wallonie
7050;53044;Wallonie
7534;57081;Wallonie
5032;92142;Wallonie
5372;91064;Wallonie
3391;24135;Flandre
2321;13014;Flandre
3078;24055;Flandre
9402;41048;Flandre
2450;13021;Flandre
2328;13014;Flandre
1860;23050;Flandre
3320;24041;Flandre
3560;71037;Flandre
4633;62099;Wallonie
9090;44040;Flandre
6211;52075;Wallonie
4837;63004;Wallonie
6567;56049;Wallonie
1785;23052;Flandre
8650;32006;Flandre
2170;11002;Flandre
2330;13023;Flandre
7822;51004;Wallonie
5560;91072;Wallonie
8957;33016;Flandre
8760;37007;Flandre
7942;51012;Wallonie
4770;63001;Wallonie
9992;43010;Flandre
8430;35011;Flandre
5376;91064;Wallonie
2322;13014;Flandre
8552;34042;Flandre
9180;44045;Flandre
9220;42008;Flandre
2400;13025;Flandre
3461;24008;Flandre
3294;24020;Flandre
1730;23002;Flandre
6590;56051;Wallonie
6592;56051;Wallonie
6031;52011;Wallonie
7000;53053;Wallonie
4400;62120;Wallonie
7870;53046;Wallonie
6061;52011;Wallonie
6110;52048;Wallonie
6674;82037;Wallonie
7542;57081;Wallonie
7141;56087;Wallonie
6540;56044;Wallonie
1435;25068;Wallonie
6032;52011;Wallonie
9310;41002;Flandre
8890;36012;Flandre
7140;56087;Wallonie
4607;62027;Wallonie
2640;11029;Flandre
7543;57081;Wallonie
7700;54007;Wallonie
3891;71017;Flandre
2812;12025;Flandre
7062;55040;Wallonie
6660;82014;Wallonie
6120;56086;Wallonie
5000;92094;Wallonie
6950;83040;Wallonie
5360;91059;Wallonie
9810;44048;Flandre
1910;23038;Flandre
1120;21004;Bruxelles
9636;45065;Flandre
3404;24059;Flandre
9403;41048;Flandre
1390;25037;Wallonie
7063;55040;Wallonie
4721;63040;Wallonie
4121;62121;Wallonie
2845;11030;Flandre
3668;71002;Flandre
9320;41002;Flandre
8950;33039;Flandre
3221;24043;Flandre
2560;12026;Flandre
7020;53053;Wallonie
1400;25072;Wallonie
6831;84010;Wallonie
9771;45017;Flandre
6851;84050;Wallonie
2200;13011;Flandre
7022;53053;Wallonie
9681;45064;Flandre
7743;57062;Wallonie
1755;23024;Flandre
7911;51065;Wallonie
7862;55023;Wallonie
5350;92097;Wallonie
2250;13029;Flandre
7866;55023;Wallonie
2491;13003;Flandre
4877;63057;Wallonie
4252;64029;Wallonie
4540;61003;Wallonie
5520;91103;Wallonie
2861;12035;Flandre
9041;44021;Flandre
9968;43002;Flandre
3945;71069;Flandre
8780;37010;Flandre
9931;44080;Flandre
9255;42004;Flandre
3660;71047;Flandre
1421;25014;Wallonie
1357;25118;Wallonie
3640;72018;Flandre
3680;72021;Flandre
6852;84050;Wallonie
3360;24011;Flandre
1745;23060;Flandre
7501;57081;Wallonie
6880;84009;Wallonie
7802;51004;Wallonie
1350;25120;Wallonie
6983;83031;Wallonie
1110;21010;Bruxelles
8553;34042;Flandre
4210;61010;Wallonie
4360;64056;Wallonie
1340;25121;Wallonie
1160;21002;Bruxelles
3050;24086;Flandre
2360;13031;Flandre
4102;62096;Wallonie
4680;62079;Wallonie
9406;41048;Flandre
3321;24041;Flandre
8582;34003;Flandre
3090;23062;Flandre
3900;72029;Flandre
3583;71004;Flandre
6850;84050;Wallonie
9661;45059;Flandre
3212;24066;Flandre
1670;23064;Flandre
7640;57003;Wallonie
7600;57064;Wallonie
5352;92097;Wallonie
7850;55010;Wallonie
5555;91015;Wallonie
7181;52063;Wallonie
6692;82032;Wallonie
7160;52010;Wallonie
6240;52018;Wallonie
8740;37011;Flandre
4122;62121;Wallonie
1380;25119;Wallonie
7782;54010;Wallonie
4850;63088;Wallonie
9880;44001;Flandre
8920;33040;Flandre
9401;41048;Flandre
5574;91013;Wallonie
2382;13035;Flandre
6929;84016;Wallonie
4171;62026;Wallonie
5660;93014;Wallonie
2242;11054;Flandre
2243;11054;Flandre
2580;12029;Flandre
4610;62015;Wallonie
7972;51008;Wallonie
7040;53084;Wallonie
7380;53068;Wallonie
6792;81004;Wallonie
4287;64047;Wallonie
4730;63061;Wallonie
6532;56078;Wallonie
1367;25122;Wallonie
1880;23039;Flandre
2230;13013;Flandre
8301;31043;Flandre
6043;52011;Wallonie
3470;24054;Flandre
2520;11035;Flandre
2380;13035;Flandre
7804;51004;Wallonie
1430;25123;Wallonie
3621;73042;Flandre
8930;34027;Flandre
3791;73109;Flandre
4350;64063;Wallonie
6987;83044;Wallonie
8647;32030;Flandre
8970;33021;Flandre
3950;72003;Flandre
7134;56011;Wallonie
9551;41027;Flandre
2470;13036;Flandre
4621;62038;Wallonie
4790;63087;Wallonie
6464;56016;Wallonie
2310;13037;Flandre
2820;12005;Flandre
3202;24001;Flandre
5170;92101;Wallonie
1330;25091;Wallonie
6830;84010;Wallonie
4761;63012;Wallonie
4000;62063;Wallonie
8972;33021;Flandre
7387;53083;Wallonie
8510;34022;Flandre
4624;62038;Wallonie
7623;57093;Wallonie
9600;45041;Flandre
9932;44080;Flandre
6250;52074;Wallonie
1331;25091;Wallonie
4257;64008;Wallonie
4120;62121;Wallonie
3110;24094;Flandre
7601;57064;Wallonie
6044;52011;Wallonie
1315;25043;Wallonie
2870;12030;Flandre
1601;23077;Flandre
8755;37012;Flandre
6724;85046;Wallonie
8800;36015;Flandre
7610;57072;Wallonie
7540;57081;Wallonie
3454;24028;Flandre
9150;46013;Flandre
7750;57095;Wallonie
3798;73109;Flandre
7010;53053;Wallonie
6221;52021;Wallonie
4606;62027;Wallonie
5620;93022;Wallonie
7034;53053;Wallonie
5081;92141;Wallonie
6820;85011;Wallonie
4470;64065;Wallonie
5640;92087;Wallonie
1450;25117;Wallonie
7330;53070;Wallonie
7730;57027;Wallonie
6747;85034;Wallonie
5003;92094;Wallonie
6762;85045;Wallonie
6800;84077;Wallonie
4672;62119;Wallonie
7912;51065;Wallonie
5002;92094;Wallonie
7030;53053;Wallonie
4671;62119;Wallonie
6982;83031;Wallonie
4780;63067;Wallonie
7080;53028;Wallonie
6542;56044;Wallonie
5330;92006;Wallonie
4845;63038;Wallonie
5030;92142;Wallonie
1030;21015;Bruxelles
3732;73032;Flandre
5364;91059;Wallonie
9820;44043;Flandre
9860;44052;Flandre
2627;11038;Flandre
1703;23016;Flandre
3270;24134;Flandre
2970;11039;Flandre
4782;63067;Wallonie
9688;45064;Flandre
2900;11040;Flandre
2223;12014;Flandre
3540;71024;Flandre
5361;91059;Wallonie
6781;81015;Wallonie
6596;56051;Wallonie
7180;52063;Wallonie
6832;84010;Wallonie
4100;62096;Wallonie
5521;91103;Wallonie
6750;85026;Wallonie
8340;31006;Flandre
9112;46021;Flandre
1082;21003;Bruxelles
3040;24045;Flandre
2890;12034;Flandre
9040;44021;Flandre
8554;34042;Flandre
9051;44021;Flandre
8793;34040;Flandre
8880;36010;Flandre
1640;23101;Flandre
1060;21013;Bruxelles
9200;42006;Flandre
3910;72025;Flandre
8900;33011;Flandre
9982;43014;Flandre
1080;21012;Bruxelles
1210;21014;Bruxelles
8730;31003;Flandre
8620;38016;Flandre
3051;24086;Flandre
2860;12035;Flandre
1742;23086;Flandre
8310;31005;Flandre
9042;44021;Flandre
3500;71022;Flandre
9980;43014;Flandre
2960;11009;Flandre
9981;43014;Flandre
9667;45062;Flandre
9570;45063;Flandre
9830;44064;Flandre
1750;23104;Flandre
9572;45063;Flandre
8200;31005;Flandre
9100;46021;Flandre
9170;46020;Flandre
1541;23032;Flandre
1600;23077;Flandre
3220;24043;Flandre
3792;73109;Flandre
8690;38002;Flandre
1932;23094;Flandre
1700;23016;Flandre
4851;63088;Wallonie
7332;53070;Wallonie
6470;56088;Wallonie
9940;44019;Flandre
4450;62060;Wallonie
7060;55040;Wallonie
4861;63058;Wallonie
6560;56022;Wallonie
5340;92054;Wallonie
5333;92006;Wallonie
5503;91034;Wallonie
4920;62009;Wallonie
6182;52015;Wallonie
5590;91030;Wallonie
6997;83013;Wallonie
5150;92045;Wallonie
4900;63072;Wallonie
3510;71022;Flandre
8433;35011;Flandre
7032;53053;Wallonie
8587;34043;Flandre
4140;62100;Wallonie
5190;92140;Wallonie
2940;11044;Flandre
7973;51008;Wallonie
5646;92087;Wallonie
8691;38002;Flandre
4970;63073;Wallonie
1840;23045;Flandre
7090;55004;Wallonie
1820;23081;Flandre
9190;46024;Flandre
4801;63079;Wallonie
1933;23094;Flandre
3512;71022;Flandre
3650;72041;Flandre
3511;71022;Flandre
4987;63075;Wallonie
6887;84029;Wallonie
6511;56005;Wallonie
7110;55022;Wallonie
1760;23097;Flandre
1853;23025;Flandre
6812;85007;Wallonie
6661;82014;Wallonie
7618;57072;Wallonie
4163;61079;Wallonie
6662;82014;Wallonie
6927;84068;Wallonie
7520;57081;Wallonie
6970;83049;Wallonie
1790;23105;Flandre
2840;11037;Flandre
6813;85007;Wallonie
1740;23086;Flandre
7333;53070;Wallonie
4560;61012;Wallonie
3980;71057;Flandre
3272;24134;Flandre
3793;73109;Flandre
4910;63076;Wallonie
7901;57094;Wallonie
7061;55040;Wallonie
4890;63089;Wallonie
7533;57081;Wallonie
1402;25072;Wallonie
6500;56005;Wallonie
4791;63087;Wallonie
1360;25084;Wallonie
7830;55039;Wallonie
6536;56078;Wallonie
6530;56078;Wallonie
7350;53039;Wallonie
5621;93022;Wallonie
5651;93088;Wallonie
5502;91034;Wallonie
4367;64021;Wallonie
8573;34002;Flandre
2460;13017;Flandre
9140;46025;Flandre
8700;37015;Flandre
3390;24135;Flandre
4630;62099;Wallonie
4500;61031;Wallonie
4130;62032;Wallonie
6680;82038;Wallonie
4420;62093;Wallonie
5380;92138;Wallonie
4557;61081;Wallonie
6637;82009;Wallonie
6730;85039;Wallonie
6700;81001;Wallonie
3960;72004;Flandre
7951;51014;Wallonie
7950;51014;Wallonie
5140;92114;Wallonie
6717;81003;Wallonie
6767;85047;Wallonie
8820;31033;Flandre
4263;64015;Wallonie
1320;25005;Wallonie
7500;57081;Wallonie
6840;84043;Wallonie
6183;52015;Wallonie
4670;62119;Wallonie
3120;24109;Flandre
7100;55022;Wallonie
4870;62122;Wallonie
1480;25105;Wallonie
2300;13040;Flandre
3631;73107;Flandre
9290;42003;Flandre
8370;31004;Flandre
1180;21016;Bruxelles
3832;73098;Flandre
9910;44029;Flandre
3054;24086;Flandre
6741;85009;Wallonie
7536;57081;Wallonie
6462;56016;Wallonie
6960;83055;Wallonie
4051;62022;Wallonie
6640;82036;Wallonie
5020;92094;Wallonie
2431;13053;Flandre
7760;57018;Wallonie
5060;92137;Wallonie
3620;73042;Flandre
7120;56085;Wallonie
3806;71053;Flandre
4460;62118;Wallonie
6440;56029;Wallonie
4537;61063;Wallonie
5370;91064;Wallonie
9130;46003;Flandre
4800;63079;Wallonie
6870;84059;Wallonie
3870;73022;Flandre
5300;92003;Wallonie
7538;57081;Wallonie
8570;34002;Flandre
6690;82032;Wallonie
4317;64076;Wallonie
4577;61041;Wallonie
6230;52055;Wallonie
1472;25031;Wallonie
6890;84035;Wallonie
4260;64015;Wallonie
7322;51009;Wallonie
7334;53070;Wallonie
4161;61079;Wallonie
5630;93010;Wallonie
6823;85011;Wallonie
6769;85024;Wallonie
6460;56016;Wallonie
1495;25107;Wallonie
4340;62006;Wallonie
6280;52025;Wallonie
7812;51004;Wallonie
6941;83012;Wallonie
7031;53053;Wallonie
4453;62060;Wallonie
6740;85009;Wallonie
7070;55035;Wallonie
1800;23088;Flandre
9921;44036;Flandre
6461;56016;Wallonie
1460;25044;Wallonie
5670;93090;Wallonie
6760;85045;Wallonie
4600;62108;Wallonie
3300;24107;Flandre
5070;92048;Wallonie
4683;62079;Wallonie
6833;84010;Wallonie
8908;33011;Flandre
9420;41082;Flandre
1602;23077;Flandre
3724;73040;Flandre
3721;73040;Flandre
2340;13004;Flandre
8421;35029;Flandre
7880;51019;Wallonie
5600;93056;Wallonie
5680;93018;Wallonie
3790;73109;Flandre
1570;23023;Flandre
9400;41048;Flandre
3840;73009;Flandre
4347;64025;Wallonie
4451;62060;Wallonie
2290;13044;Flandre
3890;71017;Flandre
1190;21007;Bruxelles
2430;13053;Flandre
2350;13046;Flandre
9850;44049;Flandre
3080;24104;Flandre
4041;62051;Wallonie
9120;46003;Flandre
2531;11004;Flandre
5550;91143;Wallonie
3630;73107;Flandre
9890;44020;Flandre
4570;61039;Wallonie
3473;24054;Flandre
8020;31022;Flandre
2550;11024;Flandre
8581;34003;Flandre
9950;44072;Flandre
9250;42023;Flandre
9185;44073;Flandre
7971;51008;Wallonie
6223;52021;Wallonie
6900;83034;Wallonie
5377;91120;Wallonie
8720;37002;Flandre
2800;12025;Flandre
1457;25124;Wallonie
4711;63048;Wallonie
3740;73006;Flandre
1741;23086;Flandre
4020;62063;Wallonie
6224;52021;Wallonie
3400;24059;Flandre
6220;52021;Wallonie
5564;91072;Wallonie
4980;63086;Wallonie
7861;55023;Wallonie
9772;45017;Flandre
4280;64034;Wallonie
4520;61072;Wallonie
9340;41034;Flandre
7548;57081;Wallonie
7740;57062;Wallonie
6600;82003;Wallonie
8790;34040;Flandre
4300;64074;Wallonie
5310;92035;Wallonie
4217;61028;Wallonie
5080;92141;Wallonie
5537;91005;Wallonie
4530;61068;Wallonie
7784;54010;Wallonie
4608;62027;Wallonie
4590;61048;Wallonie
7340;53082;Wallonie
7604;57064;Wallonie
7390;53065;Wallonie
4219;64075;Wallonie
1410;25110;Wallonie
1170;21017;Bruxelles
9988;43014;Flandre
8978;33021;Flandre
7910;51065;Wallonie
7131;56011;Wallonie
5540;91142;Wallonie
1440;25015;Wallonie
1300;25112;Wallonie
5580;91114;Wallonie
6210;52075;Wallonie
1474;25031;Wallonie
3290;24020;Flandre
2275;13019;Flandre
2381;13035;Flandre
1982;23096;Flandre
2880;12007;Flandre
4860;63058;Wallonie
5523;91103;Wallonie
4950;63080;Wallonie
9700;45035;Flandre
4840;63084;Wallonie
9473;41011;Flandre
3830;73098;Flandre
6920;84075;Wallonie
1780;23102;Flandre
8420;35029;Flandre
3118;24094;Flandre
6940;83012;Wallonie
3730;73032;Flandre
8940;33029;Flandre
3150;24033;Flandre
8434;35011;Flandre
8300;31043;Flandre
8460;35014;Flandre
2390;11057;Flandre
2235;13016;Flandre
8954;33039;Flandre
8840;36019;Flandre
9230;42025;Flandre
8560;34041;Flandre
3111;24094;Flandre
1970;23103;Flandre
3401;24059;Flandre
7620;57093;Wallonie
6666;82014;Wallonie
9260;42026;Flandre
3700;73083;Flandre
2222;12014;Flandre
8710;37017;Flandre
5100;92094;Wallonie
7608;57064;Wallonie
5571;91013;Wallonie
9280;42011;Flandre
7370;53020;Wallonie
4452;62060;Wallonie
3990;72030;Flandre
3850;71045;Flandre
3018;24062;Flandre
2110;11050;Flandre
3670;72040;Flandre
8953;33039;Flandre
3803;71053;Flandre
7904;57094;Wallonie
3370;24016;Flandre
2830;12040;Flandre
7506;57081;Wallonie
5575;91054;Wallonie
2610;11002;Flandre
3012;24062;Flandre
8431;35011;Flandre
3501;71022;Flandre
5570;91013;Wallonie
3020;24038;Flandre
3722;73040;Flandre
6860;84033;Wallonie
7890;51017;Wallonie
8640;33041;Flandre
6780;81015;Wallonie
1200;21018;Bruxelles
1150;21019;Bruxelles
1861;23050;Flandre
2160;11052;Flandre
3350;24133;Flandre
4690;62011;Wallonie
9032;44021;Flandre
9790;45061;Flandre
2323;13014;Flandre
9550;41027;Flandre
8600;32003;Flandre
8670;38014;Flandre
8952;33039;Flandre
2990;11053;Flandre
4652;63035;Wallonie
4432;62003;Wallonie
4190;61019;Wallonie
4550;61043;Wallonie
5650;93088;Wallonie
5530;91141;Wallonie
9506;41018;Flandre
8680;32010;Flandre
2240;11054;Flandre
2040;11002;Flandre
8400;35013;Flandre
9500;41018;Flandre
8610;32011;Flandre
1930;23094;Flandre
8210;31040;Flandre
8380;31005;Flandre
9660;45059;Flandre
9240;42028;Flandre
3545;71020;Flandre
1731;23002;Flandre
9060;43018;Flandre
1980;23096;Flandre
3800;71053;Flandre
8490;31012;Flandre
1370;25048;Wallonie
8470;35005;Flandre
9080;44034;Flandre
9800;44011;Flandre
9840;44012;Flandre
3271;24134;Flandre
3770;73066;Flandre
8902;33011;Flandre
9750;45057;Flandre
2260;13049;Flandre
2980;11055;Flandre
3550;71070;Flandre
9930;44080;Flandre
3520;71066;Flandre
8980;33037;Flandre
9520;41063;Flandre
9620;41081;Flandre
8630;38025;Flandre
3440;24130;Flandre
8904;33011;Flandre
8377;31042;Flandre
9870;44081;Flandre
9690;45060;Flandre
3690;71067;Flandre
9630;45065;Flandre
8550;34042;Flandre
8750;37018;Flandre
9052;44021;Flandre
2070;11056;Flandre
